Removed Pin From Net: NetName=GearR Pin=J2-3
Removed Pin From Net: NetName=GND Pin=R2-1
Removed Pin From Net: NetName=GearD Pin=SW1-1
Removed Pin From Net: NetName=GearR Pin=SW1-3
Removed Pin From Net: NetName=VCC Pin=SW1-5
Removed Pin From Net: NetName=VCC Pin=SW1-6
Removed Member From Class: ClassName=Sheet Member=R2
Change Component Footprint: Designator=J2 Old Footprint=DHDR_1x3_2.54mm New Footprint=DHDR 1*2 2,54MM
Change Component Comment : Designator=J2 Old Comment=Data HDR 1x3 2.54mm New Comment=HDR SCK 1*2 100MILS
Change component parameters: Designator = "J2" ("J2"); Footprint = "DHDR_1x3_2.54mm"; UniqueID = "\BGAPEGXH" ("\BGAPEGXH")
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-67°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "Straight"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "500"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bag"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Mount Alignment"; Value = "No (Without)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Mount Retention"; Value = "Without"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Mounting Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Thickness"; Value = "0.063inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Plating Thickness"; Value = "6.3um"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.41000, 10=0.39200, 100=0.27420, 500=0.23506, 1000=0.19588, 5000=0.16790, 10000=0.15670 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sealable"; Value = "No (Without)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shrouded"; Value = "Yes (With)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "3206"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Strain Relief"; Value = "No (Without)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "A30931-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tail Length"; Value = "3.56mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Solder"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Underplate Material"; Value = "Nickel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "250V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (AC)"; Value = "250V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GearR Pin=J2-2
Added Pin To Net: NetName=GearD Pin=SW1-2
Added Pin To Net: NetName=GearR Pin=SW1-6
Added Room: Name=Sheet
